"pul_label","tgm_label","lcsh_label","uri"
"Brochures","Leaflets","","http://id.loc.gov/vocabulary/graphicMaterials/tgm005863"
"Electoral paraphernalia","","Political collectibles","http://id.loc.gov/authorities/subjects/sh85104350"
