example_id                                                                                        | status  | run_time              |
./spec/adapters/bagit/persister_spec.rb[1:1:39:6]                                                 | passed  | 0.06268 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:1:39:7]                                                 | passed  | 0.04078 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:1:39:8]                                                 | passed  | 0.03927 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:1:39:9]                                                 | passed  | 0.04086 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:1:39:10]                                                | passed  | 0.04067 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:1]                                                  | passed  | 0.0435 seconds        |
./spec/adapters/bagit/persister_spec.rb[1:2:1:2]                                                  | passed  | 0.03361 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:3]                                                  | passed  | 0.03324 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:4]                                                  | passed  | 0.0333 seconds        |
./spec/adapters/bagit/persister_spec.rb[1:2:1:5]                                                  | passed  | 0.03527 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:6]                                                  | passed  | 0.03559 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:7:1]                                                | passed  | 0.03592 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:7:2]                                                | passed  | 0.03657 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:8]                                                  | passed  | 0.03791 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:9]                                                  | passed  | 0.03481 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:10]                                                 | passed  | 0.03762 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:11]                                                 | passed  | 0.07015 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:12]                                                 | passed  | 0.03686 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:13]                                                 | passed  | 0.03568 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:14]                                                 | passed  | 0.04197 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:15]                                                 | passed  | 0.03672 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:16]                                                 | passed  | 0.03683 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:17]                                                 | passed  | 0.0367 seconds        |
./spec/adapters/bagit/persister_spec.rb[1:2:1:18]                                                 | passed  | 0.03587 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:19]                                                 | passed  | 0.03505 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:20]                                                 | passed  | 0.04176 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:21]                                                 | passed  | 0.0351 seconds        |
./spec/adapters/bagit/persister_spec.rb[1:2:1:22]                                                 | passed  | 0.03576 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:23]                                                 | pending | 0.00002 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:24]                                                 | passed  | 0.03525 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:25]                                                 | passed  | 0.03618 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:26]                                                 | pending | 0.00002 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:27]                                                 | pending | 0.00001 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:28]                                                 | passed  | 0.0351 seconds        |
./spec/adapters/bagit/persister_spec.rb[1:2:1:29]                                                 | pending | 0.00002 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:30]                                                 | passed  | 0.03614 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:31]                                                 | passed  | 0.03609 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:32]                                                 | passed  | 0.03517 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:33:1]                                               | passed  | 0.04402 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:33:2]                                               | passed  | 0.04048 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:34]                                                 | passed  | 0.03698 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:35]                                                 | passed  | 0.03514 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:36]                                                 | passed  | 0.03437 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:37]                                                 | passed  | 0.03799 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:38:1:1:1]                                           | passed  | 0.03665 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:38:1:2:1]                                           | passed  | 0.03909 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:38:1:3:1]                                           | passed  | 0.04017 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:38:1:4:1]                                           | passed  | 0.03839 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:38:1:5:1]                                           | passed  | 0.03914 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:38:2:1:1]                                           | passed  | 0.04374 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:38:2:2:1]                                           | passed  | 0.05019 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:38:2:3:1]                                           | passed  | 0.04874 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:1]                                               | passed  | 0.0348 seconds        |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:2]                                               | passed  | 0.03506 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:3]                                               | passed  | 0.0349 seconds        |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:4]                                               | passed  | 0.03601 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:5]                                               | passed  | 0.03479 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:6]                                               | passed  | 0.04459 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:7]                                               | passed  | 0.03522 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:8]                                               | passed  | 0.04364 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:9]                                               | passed  | 0.03418 seconds       |
./spec/adapters/bagit/persister_spec.rb[1:2:1:39:10]                                              | passed  | 0.037 seconds         |
./spec/adapters/bagit/persister_spec.rb[1:2:2]                                                    | passed  | 0.13336 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:1]                                                | passed  | 0.03313 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:2]                                                | passed  | 0.04537 seconds       |
