"uri","code","label"
"http://id.loc.gov/vocabulary/iso639-1/kv","kv","Komi"
"http://id.loc.gov/vocabulary/iso639-1/kg","kg","Kongo"
"http://id.loc.gov/vocabulary/iso639-1/ko","ko","Korean"
"http://id.loc.gov/vocabulary/iso639-1/kj","kj","Kuanyama |  Kwanyama"
"http://id.loc.gov/vocabulary/iso639-1/ku","ku","Kurdish"
"http://id.loc.gov/vocabulary/iso639-1/lo","lo","Lao"
"http://id.loc.gov/vocabulary/iso639-1/la","la","Latin"
"http://id.loc.gov/vocabulary/iso639-1/lv","lv","Latvian"
"http://id.loc.gov/vocabulary/iso639-1/li","li","Limburgan |  Limburger |  Limburgish"
"http://id.loc.gov/vocabulary/iso639-1/ln","ln","Lingala"
"http://id.loc.gov/vocabulary/iso639-1/lt","lt","Lithuanian"
"http://id.loc.gov/vocabulary/iso639-1/lu","lu","Luba-Katanga"
"http://id.loc.gov/vocabulary/iso639-1/lb","lb","Luxembourgish |  Letzeburgesch"
"http://id.loc.gov/vocabulary/iso639-1/mk","mk","Macedonian"
"http://id.loc.gov/vocabulary/iso639-1/mg","mg","Malagasy"
"http://id.loc.gov/vocabulary/iso639-1/ms","ms","Malay"
"http://id.loc.gov/vocabulary/iso639-1/ml","ml","Malayalam"
"http://id.loc.gov/vocabulary/iso639-1/mt","mt","Maltese"
"http://id.loc.gov/vocabulary/iso639-1/gv","gv","Manx"
"http://id.loc.gov/vocabulary/iso639-1/mi","mi","Maori"
"http://id.loc.gov/vocabulary/iso639-1/mr","mr","Marathi"
"http://id.loc.gov/vocabulary/iso639-1/mh","mh","Marshallese"
"http://id.loc.gov/vocabulary/iso639-1/mn","mn","Mongolian"
"http://id.loc.gov/vocabulary/iso639-1/na","na","Nauru"
"http://id.loc.gov/vocabulary/iso639-1/nv","nv","Navajo |  Navaho"
"http://id.loc.gov/vocabulary/iso639-1/nd","nd","Ndebele"
"http://id.loc.gov/vocabulary/iso639-1/nr","nr","Ndebele"
"http://id.loc.gov/vocabulary/iso639-1/ng","ng","Ndonga"
"http://id.loc.gov/vocabulary/iso639-1/ne","ne","Nepali"
"http://id.loc.gov/vocabulary/iso639-1/se","se","Northern Sami"
"http://id.loc.gov/vocabulary/iso639-1/no","no","Norwegian"
"http://id.loc.gov/vocabulary/iso639-1/nn","nn","Norwegian Nynorsk |  Nynorsk"
"http://id.loc.gov/vocabulary/iso639-1/oc","oc","Occitan (post 1500)"
"http://id.loc.gov/vocabulary/iso639-1/oj","oj","Ojibwa"
"http://id.loc.gov/vocabulary/iso639-1/or","or","Oriya"
"http://id.loc.gov/vocabulary/iso639-1/om","om","Oromo"
"http://id.loc.gov/vocabulary/iso639-1/os","os","Ossetian |  Ossetic"
"http://id.loc.gov/vocabulary/iso639-1/pi","pi","Pali"
"http://id.loc.gov/vocabulary/iso639-1/pa","pa","Panjabi |  Punjabi"
