"uri","code","label"
"http://id.loc.gov/vocabulary/iso639-2/abk","abk","Abkhazian"
"http://id.loc.gov/vocabulary/iso639-2/ace","ace","Achinese"
"http://id.loc.gov/vocabulary/iso639-2/ach","ach","Acoli"
"http://id.loc.gov/vocabulary/iso639-2/ada","ada","Adangme"
"http://id.loc.gov/vocabulary/iso639-2/ady","ady","Adyghe"
"http://id.loc.gov/vocabulary/iso639-2/aar","aar","Afar"
"http://id.loc.gov/vocabulary/iso639-2/afh","afh","Afrihili"
"http://id.loc.gov/vocabulary/iso639-2/afr","afr","Afrikaans"
"http://id.loc.gov/vocabulary/iso639-2/afa","afa","Afro-Asiatic languages"
"http://id.loc.gov/vocabulary/iso639-2/ain","ain","Ainu"
"http://id.loc.gov/vocabulary/iso639-2/aka","aka","Akan"
"http://id.loc.gov/vocabulary/iso639-2/akk","akk","Akkadian"
"http://id.loc.gov/vocabulary/iso639-2/alb","alb","Albanian"
"http://id.loc.gov/vocabulary/iso639-2/sqi","sqi","Albanian"
"http://id.loc.gov/vocabulary/iso639-2/ale","ale","Aleut"
"http://id.loc.gov/vocabulary/iso639-2/alg","alg","Algonquian languages"
"http://id.loc.gov/vocabulary/iso639-2/tut","tut","Altaic languages"
"http://id.loc.gov/vocabulary/iso639-2/amh","amh","Amharic"
"http://id.loc.gov/vocabulary/iso639-2/anp","anp","Angika"
"http://id.loc.gov/vocabulary/iso639-2/apa","apa","Apache languages"
"http://id.loc.gov/vocabulary/iso639-2/ara","ara","Arabic"
"http://id.loc.gov/vocabulary/iso639-2/arg","arg","Aragonese"
"http://id.loc.gov/vocabulary/iso639-2/arp","arp","Arapaho"
"http://id.loc.gov/vocabulary/iso639-2/arw","arw","Arawak"
"http://id.loc.gov/vocabulary/iso639-2/arm","arm","Armenian"
"http://id.loc.gov/vocabulary/iso639-2/hye","hye","Armenian"
"http://id.loc.gov/vocabulary/iso639-2/rup","rup","Aromanian"
"http://id.loc.gov/vocabulary/iso639-2/art","art","Artificial languages"
"http://id.loc.gov/vocabulary/iso639-2/asm","asm","Assamese"
"http://id.loc.gov/vocabulary/iso639-2/ast","ast","Asturian"
"http://id.loc.gov/vocabulary/iso639-2/ath","ath","Athapascan languages"
"http://id.loc.gov/vocabulary/iso639-2/aus","aus","Australian languages"
"http://id.loc.gov/vocabulary/iso639-2/map","map","Austronesian languages"
"http://id.loc.gov/vocabulary/iso639-2/ava","ava","Avaric"
"http://id.loc.gov/vocabulary/iso639-2/ave","ave","Avestan"
"http://id.loc.gov/vocabulary/iso639-2/awa","awa","Awadhi"
"http://id.loc.gov/vocabulary/iso639-2/aym","aym","Aymara"
"http://id.loc.gov/vocabulary/iso639-2/aze","aze","Azerbaijani"
"http://id.loc.gov/vocabulary/iso639-2/ban","ban","Balinese"
"http://id.loc.gov/vocabulary/iso639-2/bat","bat","Baltic languages"
"http://id.loc.gov/vocabulary/iso639-2/bal","bal","Baluchi"
"http://id.loc.gov/vocabulary/iso639-2/bam","bam","Bambara"
"http://id.loc.gov/vocabulary/iso639-2/bai","bai","Bamileke languages"
"http://id.loc.gov/vocabulary/iso639-2/bad","bad","Banda languages"
"http://id.loc.gov/vocabulary/iso639-2/bnt","bnt","Bantu languages"
"http://id.loc.gov/vocabulary/iso639-2/bas","bas","Basa"
"http://id.loc.gov/vocabulary/iso639-2/bak","bak","Bashkir"
"http://id.loc.gov/vocabulary/iso639-2/baq","baq","Basque"
"http://id.loc.gov/vocabulary/iso639-2/eus","eus","Basque"
"http://id.loc.gov/vocabulary/iso639-2/btk","btk","Batak languages"
"http://id.loc.gov/vocabulary/iso639-2/bej","bej","Beja"
"http://id.loc.gov/vocabulary/iso639-2/bel","bel","Belarusian"
"http://id.loc.gov/vocabulary/iso639-2/bem","bem","Bemba"
"http://id.loc.gov/vocabulary/iso639-2/ben","ben","Bengali"
"http://id.loc.gov/vocabulary/iso639-2/ber","ber","Berber languages"
"http://id.loc.gov/vocabulary/iso639-2/bho","bho","Bhojpuri"
"http://id.loc.gov/vocabulary/iso639-2/bih","bih","Bihari languages"
"http://id.loc.gov/vocabulary/iso639-2/bik","bik","Bikol"
"http://id.loc.gov/vocabulary/iso639-2/bin","bin","Bini"
"http://id.loc.gov/vocabulary/iso639-2/bis","bis","Bislama"
