id,call,courses,titles,bibs,duplicate,recommended_bib,final_bib
834,DVD-18,"[""frs144""]","[""Streetgar named desire""]","[""4280814"", ""6184785"", ""3411063"", ""3248266""]",,,"3411063"
5609,cd-2009-12-06,"[""chapel""]","[""And was Incarnate""]","[""6074439"", ""6074360""]",,,"6074439"
